client id	hotel id	hotel Name	number of rooms	category of room	hotel Address	price for the night	is balcon	is late Checkout	user check in datetime	user check out datetime	booking channel	length of Stay	room service ordered	num adults	num children	amenities used	payment method
1	89	Consider Lodge	26	Superior	с. Норильск, пр. Гоголя, д. 6 стр. 239, 796481	4966.73	False	False	2023-04-13 11:15:21	2023-04-14 11:15:21	Online	2	False	2	2		КРЕДИТНАЯ КАРТА
2	94	End Grand Hotel	66	Superior	с. Прохладный, бул. Морозова, д. 8/3 к. 492, 711068	5843.81	False	False	2023-07-25 20:33:22	2023-07-31 20:33:22	Online	3	False	3	1		КРЕДИТНАЯ КАРТА
3	75	Whatever Boutique Hotel	136	Suite	клх Воркута, бул. Городской, д. 9/9, 111247	2974.54	False	False	2023-03-14 09:50:47	2023-03-15 09:50:47	Online	4	True	3	0		ДЕБЕТОВАЯ КАРТА
4	75	Summer Resort	116	Standard	к. Медногорск, пр. Мичурина, д. 80 к. 4/2, 868956	3433.05	False	False	2023-01-03 18:55:00	2023-01-08 18:55:00	Online	5	False	2	0	Spa	КРЕДИТНАЯ КАРТА
5	65	Culture Spa	68	Standard	с. Батайск, ш. Высотное, д. 5 к. 7, 986577	7280.69	False	False	2023-07-22 10:57:58	2023-07-29 10:57:58	Travel Agency	5	False	3	0	Тренажёрный зал	КРЕДИТНАЯ КАРТА
6	19	Consider Lodge	41	Standard	с. Верхний Баскунчак, ул. Володарского, д. 7/7, 855700	4005.35	False	False	2023-09-18 02:29:55	2023-09-24 02:29:55	Online	6	False	1	1	Тренажёрный зал	НАЛИЧНЫЕ
7	13	Treat Grand Hotel	42	Suite	с. Павловская, пер. Сосновый, д. 31 стр. 1/3, 939902	2654.42	False	False	2023-12-22 19:40:09	2023-12-26 19:40:09	Phone	7	False	2	1	   Бассейн  	ДЕБЕТОВАЯ КАРТА
8	15	Product Inn	47	Standard	клх Певек, ул. Энергетиков, д. 515, 425275	2491.27	False	False	2023-11-14 12:46:26	2023-11-18 12:46:26	Online	4	False	3	1	   Бассейн  	БАНКОВСКИЙ ПЕРЕВОД
9	1	Become Hotel	125	Standard	к. Псков, ш. Запрудное, д. 75, 775534	7707.03	False	False	2023-06-03 03:11:16	2023-06-06 03:11:16	Phone	4	True	2	2	   Бассейн  	НАЛИЧНЫЕ
10	75	Job Luxury Hotel	169	Superior	к. Абакан, пер. Коммунаров, д. 641 стр. 903, 088714	5314.75	False	False	2023-01-17 12:49:50	2023-01-23 12:49:50	Phone	3	True	2	1	Тренажёрный зал	КРЕДИТНАЯ КАРТА
11	61	Skin Lodge	100	Standard	п. Зеленоград, ш. Лесхозное, д. 806, 764497	4793.36	True	False	2023-09-30 19:02:27	2023-10-06 19:02:27	Online_PSoGOb	3	False	3	1	Spa	БАНКОВСКИЙ ПЕРЕВОД
12	45	Address Resort	124	Superior	с. Старая Русса, ул. Осенняя, д. 79 стр. 2, 262996	6628.37	False	False	2023-09-22 12:59:47	2023-09-25 12:59:47	Online	4	True	1	2	   Бассейн  	КРЕДИТНАЯ КАРТА
13	47	Truth Resort	142	Deluxe	г. Каменномостский, наб. Лермонтова, д. 65, 340358	3632.82	True	False	2023-03-31 03:21:42	2023-04-07 03:21:42	Online_nqkDlB	10	False	3	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
14	11	Take Luxury Hotel	178	Superior	клх Вологда, ул. Горняцкая, д. 1, 499690	2970.7	False	False	2023-04-26 21:29:57	2023-05-05 21:29:57	Phone	4	False	2	1	Тренажёрный зал	КРЕДИТНАЯ КАРТА
15	69	Wish Luxury Hotel	41	Superior	к. Медногорск, пр. Мичурина, д. 80 к. 4/2, 868956	7330.35	False	False	2023-04-18 13:54:29	2023-04-20 13:54:29	Online	3	True	1	2	Тренажёрный зал	ДЕБЕТОВАЯ КАРТА
16	29	Position Spa	168	Standard	клх Курск, ул. Свободы, д. 12 к. 5/5, 171609	6091.63	False	False	2023-11-22 22:58:38	2023-11-24 22:58:38	Phone	3	False	1	1	   Бассейн  	КРЕДИТНАЯ КАРТА
17	35	Several Inn	97	Superior	д. Дербент, ул. Омская, д. 708 к. 55, 100235	6440.19	True	False	2023-06-21 23:35:25	2023-06-27 23:35:25	Online	3	False	2	0		НАЛИЧНЫЕ
18	73	Truth Resort	166	Standard	д. Шаховская, наб. 60 лет СССР, д. 10 к. 6/3, 761076	2638.59	True	False	2023-05-04 14:59:45	2023-05-07 14:59:45	Online	5	False	3	2	Тренажёрный зал	КРЕДИТНАЯ КАРТА
